id,title,quantity,user
1,Camera,1,user2
2,Keyboard,4,user2
3,Charger,3,user4
4,Tablet,3,user3
5,Camera,2,user4
6,Charger,2,user3
7,Phone,1,user5
8,Keyboard,2,user5
9,Charger,5,user4
10,Phone,4,user4
11,Phone,5,user1
12,Headphones,1,user3
13,Phone,1,user1
14,Mouse,3,user5
15,Camera,4,user2
16,Mouse,2,user2
17,Headphones,1,user1
18,Tablet,5,user3
19,Camera,2,user5
20,Headphones,1,user4
21,Monitor,5,user1
22,Phone,1,user5
23,Mouse,2,user3
24,Tablet,3,user4
25,Camera,3,user4
26,Speaker,5,user2
27,Monitor,5,user2
28,Tablet,4,user2
29,Laptop,1,user2
30,Laptop,5,user4
31,Monitor,4,user2
32,Camera,2,user1
33,Charger,4,user3
34,Laptop,5,user1
35,Camera,2,user3
36,Monitor,3,user5
37,Charger,1,user5
38,Charger,2,user1
39,Keyboard,4,user4
40,Headphones,4,user1
41,Speaker,3,user5
42,Headphones,1,user1
43,Charger,3,user2
44,Camera,5,user3
45,Mouse,1,user3
46,Charger,2,user5
47,Monitor,2,user1
48,Headphones,4,user4
49,Headphones,3,user3
50,Monitor,4,user2
51,Headphones,5,user5
52,Monitor,3,user2
53,Camera,4,user2
54,Monitor,1,user1
55,Tablet,1,user5
56,Laptop,3,user4
57,Tablet,2,user2
58,Tablet,4,user2
59,Monitor,1,user1
60,Phone,4,user5
61,Headphones,2,user3
62,Monitor,5,user5
63,Keyboard,2,user1
64,Speaker,3,user3
65,Charger,5,user1
66,Monitor,1,user3
67,Keyboard,5,user5
68,Tablet,2,user2
69,Laptop,4,user2
70,Laptop,1,user4
71,Monitor,2,user2
72,Mouse,4,user4
73,Headphones,1,user2
74,Speaker,5,user5
75,Mouse,1,user4
76,Headphones,5,user4
77,Charger,3,user3
78,Keyboard,5,user3
79,Camera,1,user1
80,Speaker,2,user1
81,Phone,1,user1
82,Phone,1,user4
83,Headphones,1,user4
84,Phone,4,user2
85,Camera,1,user3
86,Phone,4,user2
87,Monitor,5,user2
88,Keyboard,2,user3
89,Tablet,3,user3
90,Monitor,4,user3
91,Keyboard,2,user3
92,Keyboard,3,user3
93,Laptop,5,user2
94,Tablet,4,user3
95,Monitor,5,user5
96,Charger,4,user1
97,Charger,4,user1
98,Camera,4,user5
99,Camera,1,user1
100,Mouse,4,user2
