Report_Section,Dimension,Metric1,Metric2,Metric3,Metric4
AVERAGE_ORDER_VALUE,Overall Statistics,74544.12024614868,204.0500030517578,249955.5,
CATEGORY_PERFORMANCE,Beauty,227489624.69540405,2997.0,,
CATEGORY_PERFORMANCE,Electronics,226564923.26298523,3036.0,,
CATEGORY_PERFORMANCE,Books,224999226.81274414,3035.0,,
CATEGORY_PERFORMANCE,Clothing,222409335.93345642,3022.0,,
CATEGORY_PERFORMANCE,Home & Kitchen,216698692.98764038,2910.0,,
COD_VS_DIGITAL_PAYMENTS,Cash on Delivery,74865.79946868712,3827.0,286511414.56666565,
COD_VS_DIGITAL_PAYMENTS,Digital Payments,74433.93798671481,11173.0,831650389.1255646,
CUSTOMER_COUNT_BY_STATE,Sikkim,572.0,596.0,,
CUSTOMER_COUNT_BY_STATE,Rajasthan,550.0,568.0,,
CUSTOMER_COUNT_BY_STATE,Tamil Nadu,546.0,567.0,,
CUSTOMER_COUNT_BY_STATE,Madhya Pradesh,541.0,550.0,,
CUSTOMER_COUNT_BY_STATE,Manipur,541.0,555.0,,
CUSTOMER_COUNT_BY_STATE,Meghalaya,540.0,559.0,,
CUSTOMER_COUNT_BY_STATE,Assam,540.0,553.0,,
CUSTOMER_COUNT_BY_STATE,Bihar,538.0,549.0,,
CUSTOMER_COUNT_BY_STATE,Jharkhand,535.0,547.0,,
CUSTOMER_COUNT_BY_STATE,Nagaland,533.0,545.0,,
CUSTOMER_COUNT_BY_STATE,Chhattisgarh,532.0,556.0,,
CUSTOMER_COUNT_BY_STATE,Telangana,531.0,544.0,,
CUSTOMER_COUNT_BY_STATE,Uttar Pradesh,528.0,551.0,,
CUSTOMER_COUNT_BY_STATE,Tripura,523.0,540.0,,
CUSTOMER_COUNT_BY_STATE,Odisha,523.0,542.0,,
CUSTOMER_COUNT_BY_STATE,West Bengal,515.0,528.0,,
CUSTOMER_COUNT_BY_STATE,Maharashtra,514.0,531.0,,
CUSTOMER_COUNT_BY_STATE,Karnataka,513.0,539.0,,
CUSTOMER_COUNT_BY_STATE,Punjab,509.0,527.0,,
CUSTOMER_COUNT_BY_STATE,Haryana,505.0,518.0,,
CUSTOMER_COUNT_BY_STATE,Goa,503.0,522.0,,
CUSTOMER_COUNT_BY_STATE,Arunachal Pradesh,502.0,519.0,,
CUSTOMER_COUNT_BY_STATE,Kerala,501.0,510.0,,
CUSTOMER_COUNT_BY_STATE,Mizoram,497.0,505.0,,
CUSTOMER_COUNT_BY_STATE,Uttarakhand,493.0,503.0,,
CUSTOMER_COUNT_BY_STATE,Gujarat,484.0,504.0,,
CUSTOMER_COUNT_BY_STATE,Himachal Pradesh,477.0,492.0,,
CUSTOMER_COUNT_BY_STATE,Andhra Pradesh,462.0,480.0,,
CUSTOMER_PURCHASE_FREQUENCY,CUST4795,8.0,630607.09765625,,
CUSTOMER_PURCHASE_FREQUENCY,CUST9938,7.0,509537.0341796875,,
CUSTOMER_PURCHASE_FREQUENCY,CUST7771,7.0,610198.3017578125,,
CUSTOMER_PURCHASE_FREQUENCY,CUST8167,7.0,708197.078125,,
CUSTOMER_PURCHASE_FREQUENCY,CUST4366,7.0,723331.8264160156,,
CUSTOMER_PURCHASE_FREQUENCY,CUST5161,7.0,413808.07653808594,,
CUSTOMER_PURCHASE_FREQUENCY,CUST8306,7.0,622213.3852539062,,
CUSTOMER_PURCHASE_FREQUENCY,CUST2175,7.0,521797.458984375,,
CUSTOMER_PURCHASE_FREQUENCY,CUST4863,7.0,590396.7421875,,
CUSTOMER_PURCHASE_FREQUENCY,CUST7512,7.0,657425.6166992188,,
CUSTOMER_PURCHASE_FREQUENCY,CUST4143,7.0,395650.654296875,,
CUSTOMER_PURCHASE_FREQUENCY,CUST2813,7.0,632848.162109375,,
CUSTOMER_PURCHASE_FREQUENCY,CUST6080,7.0,608428.998046875,,
CUSTOMER_PURCHASE_FREQUENCY,CUST7903,7.0,875139.1328125,,
CUSTOMER_PURCHASE_FREQUENCY,CUST9505,7.0,366240.015625,,
CUSTOMER_PURCHASE_FREQUENCY,CUST8009,6.0,432479.138671875,,
CUSTOMER_PURCHASE_FREQUENCY,CUST2221,6.0,258894.96728515625,,
CUSTOMER_PURCHASE_FREQUENCY,CUST9284,6.0,348396.3896484375,,
CUSTOMER_PURCHASE_FREQUENCY,CUST7615,6.0,380967.3759765625,,
