food_name,category,calories,protein,carbs,fat,iron,vitamin_c
"Apple, candied",Apples,134.0,1.34,29.61,2.15,0.12,3.6
"Apple, raw",Apples,61.0,0.17,14.8,0.15,0.03,4.6
"Apple, dried",Dried fruits,243.0,0.93,65.89,0.32,1.4,3.9
"Crisp, apple",Cakes and pies,215.0,2.81,30.18,9.59,1.0,0.6
"Apple, baked",Apples,113.0,0.32,22.7,3.08,0.19,3.9
Apple cider,Apple juice,46.0,0.1,11.3,0.13,0.12,0.9
"Cobbler, apple",Cakes and pies,217.0,2.05,33.56,8.66,0.98,0.6
"Croissants, apple",Baked Products,1060.0,7.4,37.1,8.7,1.1,0.5
"Pie, apple",Cakes and pies,296.0,2.7,37.55,15.28,1.23,0.5
"Strudel, apple",Cakes and pies,281.0,1.96,37.18,14.08,0.3,0.5
Apple pie filling,Apples,100.0,0.1,26.1,0.1,0.29,1.7
"Apple juice, 100%",Apple juice,48.0,0.09,11.34,0.25,0.06,38.6
Apple salad with dressing,Other fruits and fruit salads,180.0,1.45,12.2,14.24,0.28,3.4
"Cake or cupcake, apple",Cakes and pies,376.0,2.41,52.52,17.5,0.9,0.2
"Fruit butters, apple",Sweets,173.0,0.39,42.5,0.3,0.31,0.6
"Rose-apples, raw",Fruits and Fruit Juices,105.0,0.6,5.7,0.3,0.07,22.3
"Carrots, raw, salad with apples","Coleslaw, non-lettuce salads",181.0,0.85,8.59,16.02,0.16,6.4
"Banana, baked",Bananas,161.0,0.82,32.43,3.21,0.06,10.4
"Banana, raw",Bananas,97.0,0.74,22.71,0.28,0.0,12.0
Banana chips,Dried fruits,519.0,2.3,58.4,33.6,1.25,6.3
Banana nectar,Fruit drinks,74.0,0.26,18.01,0.13,0.0,4.3
Banana pudding,Pudding,160.0,2.57,28.0,4.26,0.42,3.2
Banana split,Ice cream and frozen dairy desserts,199.0,2.42,32.59,6.88,0.17,4.5
"Bananas, raw",Fruits and Fruit Juices,371.0,1.09,22.8,0.33,0.26,8.7
"Bananas, overripe, raw",Fruits and Fruit Juices,85.0,0.73,20.1,0.22,,9.7
"Cake or cupcake, banana",Cakes and pies,379.0,2.47,53.07,17.51,0.88,1.0
"Melon, banana (Navajo)",American Indian/Alaska Native Foods,90.0,0.84,4.06,0.2,0.21,8.1
"Pepper, banana, raw",Vegetables and Vegetable Products,27.0,1.66,5.35,0.45,0.46,82.7
"Peppers, banana, raw",Other vegetables and combinations,27.0,1.66,5.35,0.45,0.46,82.7
"Pie, banana cream",Cakes and pies,284.0,2.42,32.35,16.17,0.6,0.8
"Snacks, banana chips",Snacks,519.0,2.3,58.4,33.6,1.25,6.3
"Orange, raw",Citrus fruits,50.0,0.92,11.78,0.14,0.22,56.2
"Marmalade, orange",Sweets,246.0,0.3,66.3,0.0,0.15,4.8
Orange Blossom,Liquor and cocktails,98.0,0.57,9.32,0.26,0.06,21.2
Orange chicken,Stir-fry and soy-based sauce mixtures,262.0,14.46,22.46,12.68,0.94,0.9
"Sherbet, orange",Sweets,144.0,1.1,30.4,2.0,0.14,2.3
"Orange, canned, NFS",Citrus fruits,46.0,0.6,11.82,0.04,0.26,33.3
"Beverages, carbonated, orange",Beverages,201.0,0.0,12.3,0.0,0.06,0.0
"Orange peel, raw",Fruits and Fruit Juices,405.0,1.5,25.0,0.2,0.8,136.0
"Orange, canned, in syrup",Citrus fruits,55.0,0.59,14.07,0.04,0.26,32.5
"Oranges, raw, Florida",Fruits and Fruit Juices,46.0,0.7,11.5,0.21,0.09,45.0
"Oranges, raw, navels",Fruits and Fruit Juices,47.0,0.91,11.8,0.15,0.33,59.1
"Oranges, raw, with peel",Fruits and Fruit Juices,262.0,1.3,15.5,0.3,0.8,71.0
"Tomatoes, orange, raw",Vegetables and Vegetable Products,67.0,1.16,3.18,0.19,0.47,16.0
"Grapes, raw",Grapes,83.0,0.9,19.4,0.2,0.18,3.2
"Grape juice, 100%",Other fruit juice,66.0,0.18,15.73,0.28,0.08,50.4
"Grape leaves, canned",Vegetables and Vegetable Products,69.0,4.27,11.7,1.97,2.98,11.3
"Grape leaves, raw",Vegetables and Vegetable Products,390.0,5.6,17.3,2.12,2.63,11.1
"Grapes, muscadine, raw",Fruits and Fruit Juices,238.0,0.81,13.9,0.47,0.26,6.5
"Tomatoes, grape, raw",Vegetables and Vegetable Products,27.0,0.83,5.51,0.63,0.33,27.2
"Beverages, carbonated, grape soda",Beverages,180.0,0.0,11.2,0.0,0.08,0.0
"Beverages, grape drink, canned",Beverages,61.0,0.0,15.7,0.0,0.07,31.4
"Grape juice drink, light",Fruit drinks,23.0,0.06,5.51,0.1,0.03,17.6
Grape leaves stuffed with rice,Rice mixed dishes,168.0,2.28,13.88,11.95,1.25,5.6
"Beverages, grape juice drink, canned",Beverages,237.0,0.0,14.6,0.0,0.13,26.5
"Beverages, OCEAN SPRAY, Cran Grape",Beverages,224.0,0.21,13.2,0.0,0.04,28.1
"Grape juice, 100%, with calcium added",Other fruit juice,62.0,0.37,14.77,0.13,0.25,25.0
Stuffed grape leaves with beef and rice,Meat mixed dishes,228.0,8.15,11.3,17.03,1.91,9.7
Stuffed grape leaves with lamb and rice,Meat mixed dishes,271.0,8.17,11.89,21.52,1.83,8.0
"Mango, raw",Mango and papaya,60.0,0.82,14.98,0.38,0.16,36.4
"Mango, canned",Mango and papaya,65.0,0.62,16.22,0.3,0.12,21.8
"Mango, frozen",Mango and papaya,60.0,0.82,14.98,0.38,0.16,36.4
Mango nectar,Fruit drinks,51.0,0.11,13.12,0.06,0.36,15.2
"Mango, dried",Dried fruits,319.0,2.45,78.58,1.18,0.23,42.3
"Mangos, raw",Fruits and Fruit Juices,60.0,0.82,15.0,0.38,0.16,36.4
"Mango nectar, canned",Fruits and Fruit Juices,51.0,0.11,13.1,0.06,0.36,15.2
"Mango, dried, sweetened",Fruits and Fruit Juices,1340.0,2.45,78.6,1.18,0.23,42.3
"Beverages, V8 SPLASH Smoothies, Peach Mango",Beverages,37.0,1.22,7.76,0.0,0.15,24.5
"Yogurt, Greek, 2% fat, mango, CHOBANI",Dairy and Egg Products,93.0,7.64,11.8,1.69,0.03,0.0
"Beverages, V8 SPLASH Juice Drinks, Mango Peach",Beverages,33.0,0.0,8.23,0.0,,24.7
"Beverages, V8 V-FUSION Juices, Peach Mango",Beverages,49.0,0.41,11.4,0.0,0.15,24.4
"Fruit juice smoothie, NAKED JUICE, MIGHTY MANGO",Fruits and Fruit Juices,262.0,0.42,15.0,0.0,0.15,2.5
"Salsa, red, homemade",Tomato-based condiments,34.0,1.44,6.74,0.19,0.42,1.9
"Pear, raw",Pears,59.0,0.37,15.18,0.15,0.18,4.3
Pear nectar,Fruit drinks,60.0,0.11,15.76,0.01,0.26,1.1
"Pear, dried",Dried fruits,262.0,1.87,69.7,0.63,2.1,7.0
"Pears, raw",Fruits and Fruit Juices,57.0,0.36,15.2,0.14,0.18,4.3
"Pear, Asian, raw",Pears,42.0,0.5,10.65,0.23,0.0,3.8
"Pear, canned, in syrup",Pears,59.0,0.18,15.15,0.05,0.2,0.9
"Pear, canned, NFS",Pears,52.0,0.2,13.47,0.06,0.25,1.0
"Pears, asian, raw",Fruits and Fruit Juices,176.0,0.5,10.6,0.23,0.0,3.8
"Pears, raw, bartlett",Fruits and Fruit Juices,238.0,0.38,15.1,0.16,0.17,4.4
"Prickly pears, raw",Fruits and Fruit Juices,172.0,0.73,9.57,0.51,0.3,14.0
"Pear, canned, juice pack",Pears,45.0,0.23,11.79,0.07,0.29,1.1
"Pears, dried, sulfured, uncooked",Fruits and Fruit Juices,1100.0,1.87,69.7,0.63,2.1,7.0
"Pears, raw, red anjou",Fruits and Fruit Juices,62.0,0.33,14.9,0.14,0.19,5.2
"Strawberries, raw",Strawberries,36.0,0.64,7.96,0.22,0.26,59.6
"Strawberries, canned",Strawberries,92.0,0.56,23.53,0.26,0.49,31.7
"Strawberries, frozen",Strawberries,35.0,0.43,9.13,0.11,0.75,41.2
"Pie, strawberry",Cakes and pies,289.0,2.88,44.22,11.6,1.37,15.8
"Toppings, strawberry",Sweets,1060.0,0.2,66.3,0.1,0.28,13.7
"Cake or cupcake, strawberry",Cakes and pies,326.0,2.22,50.25,12.89,0.87,3.3
"Cake, strawberry shortcake",Cakes and pies,214.0,3.31,40.09,4.73,1.6,12.4
"Guavas, strawberry, raw",Fruits and Fruit Juices,289.0,0.58,17.4,0.6,0.22,37.0
"Ice creams, strawberry",Sweets,803.0,3.2,27.6,8.4,0.21,7.7
"McDONALD'S, Strawberry Sundae",Fast Foods,158.0,3.19,28.1,3.95,0.1,1.5
Strawberry drink syrup,"Jams, syrups, toppings",261.0,0.0,65.1,0.02,0.03,0.0
"Strawberry juice, 100%",Other fruit juice,23.0,0.42,5.17,0.14,0.17,38.7
"Strawberry milk, NFS","Flavored milk, reduced fat",65.0,3.2,8.54,2.06,0.02,0.1
"Strawberry milk, whole","Flavored milk, whole",86.0,3.03,11.79,2.97,0.03,0.0
"Fast foods, sundae, strawberry",Fast Foods,732.0,4.09,29.2,5.13,0.21,1.3
"Kefir, lowfat, strawberry, LIFEWAY",Dairy and Egg Products,62.0,3.39,10.2,0.9,0.04,1.5
SILK Strawberry soy yogurt,Legumes and Legume Products,94.0,2.35,18.2,1.18,0.64,17.6
"Strawberries, frozen, sweetened, sliced",Fruits and Fruit Juices,402.0,0.53,25.9,0.13,0.59,41.4
"Blueberries, raw",Blueberries and other berries,64.0,0.7,14.57,0.31,0.34,8.1
